year,org_short,utility_parent_company,utility_entity_matched,contributor_name,amount_usd,contribution_date,match_type
2021,RSLC,Dominion Energy,Dominion Energy Services,"DOMINION ENERGY SERVICES, INC.",50000,2021-10-01,entity_simplified
2021,RSLC,Nuclear Energy Institute,Nuclear Energy Institute,NUCLEAR ENERGY INSTITUTE,50000,2021-03-01,entity_exact
2021,RSLC,Nuclear Energy Institute,Nuclear Energy Institute,NUCLEAR ENERGY INSTITUTE,50000,2021-03-01,entity_exact
2021,RAGA,Southern Company,Southern Company Services,"SOUTHERN COMPANY SERVICES, INC.",42500,2021-01-04,entity_simplified
2021,GOPAC,Xcel Energy,Xcel Energy,XCEL ENERGY,30000,2021-03-09,entity_exact
2021,RSLC,Calpine,Calpine,CALPINE CORPORATION,30000,2021-04-20,entity_word_boundary
2021,DAGA,American Electric Power,American Electric Power,AMERICAN ELECTRIC POWER AEP,25000,2021-06-15,entity_simplified
2021,DAGA,Berkshire Hathaway Energy,Berkshire Hathaway Energy,BERKSHIRE HATHAWAY ENERGY,25000,2021-03-23,entity_exact
2021,DAGA,CenterPoint Energy,CenterPoint Energy,CENTERPOINT ENERGY,25000,2021-07-13,entity_exact
2021,DAGA,CenterPoint Energy,CenterPoint Energy,CENTERPOINT ENERGY,25000,2021-12-23,entity_exact
2021,DAGA,Edison Electric Institute,Edison Electric Institute,EDISON ELECTRIC INSTITUTE,25000,2021-08-03,entity_exact
2021,DAGA,Southern Company,Southern Company Services,"SOUTHERN COMPANY SERVICES, INC.",25000,2021-03-05,entity_simplified
2021,DGA,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,25000,2021-03-23,entity_exact
2021,DGA,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,25000,2021-11-10,entity_exact
2021,DGA,Avangrid,Avangrid,AVANGRID INC,25000,2021-12-16,entity_simplified
2021,DGA,CMS Energy,CMS Energy,CMS ENERGY CORPORATION,25000,2021-06-25,entity_simplified
2021,DGA,Dominion Energy,Dominion Energy Services,DOMINION ENERGY SERVICES INC,25000,2021-06-22,entity_simplified
2021,DGA,Duke Energy,Duke Energy,DUKE ENERGY CORPORATION,25000,2021-12-13,entity_simplified
2021,DGA,NiSource,Nisource Inc PAC,NISOURCE INC PAC,25000,2021-09-24,entity_exact
2021,DGA,NRG Energy,NRG Energy,NRG ENERGY INC.,25000,2021-11-18,entity_simplified
2021,DGA,Sempra Energy,Sempra Energy,SEMPRA ENERGY,25000,2021-01-24,entity_exact
2021,DGA,Vistra Energy,Vistra Corporate Services,VISTRA CORPORATE SERVICES CO,25000,2021-10-18,entity_simplified
2021,DGA,Xcel Energy,Xcel Energy,XCEL ENERGY,25000,2021-11-30,entity_exact
2021,DLCC,Edison Electric Institute,Edison Electric Institute,EDISON ELECTRIC INSTITUTE,25000,2021-07-30,entity_exact
2021,DLCC,Fortis,ITC Holdings,ITC HOLDINGS CORP,25000,2021-06-03,entity_exact
2021,DLCC,NRG Energy,NRG Energy,NRG ENERGY INC.,25000,2021-08-29,entity_simplified
2021,DLCC,PG&E Corp,PG&E Corporation,PG E CORPORATION,25000,2021-01-04,entity_exact
2021,DLCC,Vistra Energy,Vistra Corporate Services,VISTRA CORPORATE SERVICES COMPANY,25000,2021-03-03,entity_simplified
2021,DLCC,Vistra Energy,Vistra Corporate Services,VISTRA CORPORATE SERVICES COMPANY,25000,2021-03-15,entity_simplified
2021,DLCC,Xcel Energy,Xcel Energy,XCEL ENERGY,25000,2021-03-05,entity_exact
2021,DLCC,Xcel Energy,Xcel Energy,XCEL ENERGY,25000,2021-06-15,entity_exact
2021,GOPAC,Fortis,ITC Holdings,ITC HOLDINGS CORP,25000,2021-02-02,entity_exact
2021,RAGA,American Electric Power,American Electric Power,AMERICAN ELECTRIC POWER SERVICE CORPORATION,25000,2021-06-14,entity_simplified
2021,RAGA,Vistra Energy,Vistra Corporate Services,VISTRA CORPORATE SERVICES COMPANY,25000,2021-01-07,entity_simplified
2021,RGA,Alliant Energy,Alliant Energy,ALLIANT ENERGY CORPORATION,25000,2021-10-13,entity_simplified
2021,RGA,CenterPoint Energy,CenterPoint Energy,"CENTERPOINT ENERGY, INC.",25000,2021-09-10,entity_simplified
2021,RGA,Duke Energy,Duke Energy Business Services,DUKE ENERGY BUSINESS SERVICES LLC,25000,2021-12-21,entity_simplified
2021,RGA,Nuclear Energy Institute,Nuclear Energy Institute,NUCLEAR ENERGY INSTITUTE,25000,2021-12-14,entity_exact
2021,RSLC,Alliant Energy,Alliant Energy,ALLIANT ENERGY CORPORATION SERVICES INC,25000,2021-12-27,entity_simplified
2021,RSLC,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,25000,2021-11-04,entity_exact
2021,RSLC,CenterPoint Energy,CenterPoint Energy Service,"CENTERPOINT ENERGY SERVICE COMPANY, LLC",25000,2021-07-20,entity_simplified
2021,RSLC,Edison Electric Institute,Edison Electric Institute,EDISON ELECTRIC INSTITUTE,25000,2021-11-08,entity_exact
2021,RSLC,Fortis,ITC Holdings,ITC HOLDINGS CORP,25000,2021-03-23,entity_exact
2021,RSLC,Fortis,ITC Holdings,ITC HOLDINGS CORP,25000,2021-03-23,entity_exact
2021,RSLC,NRG Energy,NRG Energy,NRG ENERGY INC.,25000,2021-05-25,entity_simplified
2021,RSLC,Public Service Enterprise Group,PSEG Services Corp,PSEG SERVICES CORPORATION,25000,2021-11-15,entity_simplified
2021,RSLC,Southern Company,Southern Company Services,"SOUTHERN COMPANY SERVICES, INC.",25000,2021-12-07,entity_simplified
2021,RSLC,Emera,TECO Energy,TECO ENERGY,25000,2021-09-07,entity_exact
2021,RSLC,Vistra Energy,Vistra Corporate Services,"VISTRA CORPORATE SERVICES COMPANY, AS AGENT",25000,2021-03-01,entity_simplified
2021,RSLC,Vistra Energy,Vistra Corporate Services,"VISTRA CORPORATE SERVICES COMPANY, AS AGENT",25000,2021-03-01,entity_simplified
2021,RSLC,Vistra Energy,Vistra Corporate Services,"VISTRA CORPORATE SERVICES COMPANY, AS AGENT",25000,2021-03-15,entity_simplified
2021,RSLC,Vistra Energy,Vistra Corporate Services,"VISTRA CORPORATE SERVICES COMPANY, AS AGENT",25000,2021-03-15,entity_simplified
2021,RSLC,Vistra Energy,Vistra Corporate Services,"VISTRA CORPORATE SERVICES COMPANY, AS AGENT",25000,2021-09-16,entity_simplified
2021,RSLC,Xcel Energy,Xcel Energy Services,XCEL ENERGY SERVICES INC.,25000,2021-03-31,entity_simplified
2021,RSLC,Xcel Energy,Xcel Energy Services,XCEL ENERGY SERVICES INC.,25000,2021-03-31,entity_simplified
2021,RSLC,Xcel Energy,Xcel Energy Services,XCEL ENERGY SERVICES INC.,25000,2021-06-15,entity_simplified
2021,DLCC,Duquesne Light Company,Duquesne Light Company,DUQUESNE LIGHT COMPANY,20000,2021-12-29,entity_exact
2021,RAGA,CenterPoint Energy,CenterPoint Energy,CENTERPOINT ENERGY,20000,2021-11-29,entity_exact
2021,RAGA,CenterPoint Energy,CenterPoint Energy,CENTERPOINT ENERGY,20000,2021-12-09,entity_exact
2021,RAGA,Nuclear Energy Institute,Nuclear Energy Institute,NUCLEAR ENERGY INSTITUTE,20000,2021-11-23,entity_exact
2021,RGA,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,20000,2021-02-26,entity_exact
2021,RGA,Berkshire Hathaway Energy,Berkshire Hathaway Energy,BERKSHIRE HATHAWAY ENERGY PAC,20000,2021-06-08,entity_simplified
2021,RSLC,American Electric Power,American Electric Power,AMERICAN ELECTRIC POWER SERVICE CORPORATION,20000,2021-09-16,entity_simplified
2021,RSLC,Dominion Energy,Dominion Energy Services,"DOMINION ENERGY SERVICES, INC.",20000,2021-04-22,entity_simplified
2021,DAGA,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,15000,2021-03-15,entity_exact
2021,DAGA,CMS Energy,CMS Energy,CMS ENERGY CORPORATION,15000,2021-06-22,entity_simplified
2021,DAGA,DTE Energy,DTE Energy,DTE ENERGY CORPORATION SERVICES LLC,15000,2021-11-05,entity_simplified
2021,DAGA,NRG Energy,NRG Energy,"NRG ENERGY, INC.",15000,2021-02-26,entity_simplified
2021,DLCC,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,15000,2021-11-04,entity_exact
2021,GOPAC,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,15000,2021-06-07,entity_exact
